,Team Name,ScoredPoints,FirstDowns,PassY,RushY,TurnoversAllowed,FirstAllowed,YardsAllowed,PassYardsAllowed,RushingYardsAllowed,Turnovers
40,Chargers,20.0,24.0,326.0,39.0,1.0,22.0,403.0,306.0,97.0,1.0
41,Chargers,17.0,11.0,195.0,36.0,1.0,26.0,388.0,226.0,162.0,2.0
42,Chargers,26.0,24.0,283.0,159.0,,13.0,184.0,139.0,45.0,
43,Chargers,24.0,26.0,169.0,146.0,3.0,18.0,278.0,200.0,78.0,
44,Chargers,17.0,23.0,345.0,93.0,4.0,18.0,310.0,180.0,130.0,1.0
45,Chargers,,,,,,,,,,
46,Chargers,20.0,17.0,244.0,115.0,2.0,13.0,218.0,134.0,84.0,1.0
47,Chargers,45.0,27.0,330.0,195.0,,15.0,252.0,164.0,88.0,
48,Chargers,10.0,17.0,283.0,62.0,7.0,18.0,344.0,207.0,137.0,1.0
49,Chargers,17.0,21.0,265.0,19.0,,19.0,366.0,267.0,99.0,
50,Chargers,21.0,25.0,258.0,108.0,2.0,16.0,336.0,174.0,162.0,1.0
51,Giants,17.0,25.0,319.0,151.0,2.0,23.0,494.0,405.0,89.0,
52,Giants,14.0,21.0,241.0,129.0,2.0,24.0,388.0,237.0,151.0,
53,Giants,32.0,17.0,312.0,72.0,2.0,24.0,499.0,355.0,144.0,1.0
54,Giants,24.0,24.0,225.0,164.0,4.0,8.0,176.0,121.0,55.0,4.0
55,Giants,10.0,18.0,147.0,64.0,1.0,22.0,490.0,279.0,211.0,1.0
56,Giants,14.0,10.0,161.0,52.0,4.0,27.0,427.0,313.0,114.0,2.0
57,Giants,21.0,21.0,156.0,107.0,3.0,18.0,245.0,89.0,156.0,
58,Giants,26.0,24.0,290.0,80.0,1.0,17.0,375.0,316.0,59.0,2.0
59,Giants,18.0,20.0,171.0,100.0,3.0,24.0,429.0,257.0,172.0,2.0
60,Giants,27.0,15.0,258.0,23.0,2.0,18.0,294.0,218.0,76.0,
61,Giants,,,,,,,,,,
62,Giants,14.0,14.0,134.0,109.0,1.0,20.0,335.0,270.0,65.0,2.0
63,Giants,13.0,20.0,240.0,95.0,3.0,19.0,322.0,243.0,79.0,
64,Giants,17.0,11.0,182.0,73.0,,27.0,418.0,300.0,118.0,1.0
65,Giants,36.0,24.0,274.0,138.0,3.0,22.0,384.0,262.0,122.0,1.0
66,Giants,41.0,28.0,346.0,206.0,,25.0,361.0,281.0,80.0,
67,Giants,17.0,19.0,275.0,122.0,2.0,25.0,400.0,279.0,121.0,
68,Bears,3.0,16.0,208.0,46.0,1.0,13.0,213.0,166.0,47.0,
69,Bears,16.0,18.0,120.0,153.0,,27.0,372.0,282.0,90.0,1.0
70,Bears,31.0,21.0,208.0,90.0,1.0,25.0,356.0,287.0,69.0,5.0
71,Bears,16.0,17.0,197.0,72.0,,15.0,222.0,182.0,40.0,2.0
72,Bears,21.0,15.0,194.0,42.0,2.0,25.0,398.0,229.0,169.0,2.0
73,Bears,,,,,,,,,,
74,Bears,25.0,16.0,235.0,17.0,2.0,24.0,424.0,273.0,151.0,
75,Bears,16.0,26.0,226.0,162.0,2.0,11.0,231.0,195.0,36.0,1.0
76,Bears,14.0,10.0,102.0,62.0,1.0,26.0,373.0,227.0,146.0,
77,Bears,20.0,13.0,145.0,81.0,,21.0,357.0,259.0,98.0,1.0
78,Bears,7.0,17.0,193.0,74.0,1.0,13.0,283.0,173.0,110.0,2.0
79,Bears,19.0,20.0,270.0,65.0,2.0,14.0,243.0,134.0,109.0,1.0
80,Bears,24.0,22.0,331.0,88.0,1.0,19.0,364.0,259.0,105.0,1.0
81,Bears,31.0,24.0,231.0,151.0,2.0,22.0,408.0,326.0,82.0,
82,Bears,13.0,20.0,319.0,96.0,3.0,12.0,292.0,192.0,100.0,
83,Bears,3.0,18.0,133.0,101.0,,25.0,350.0,244.0,106.0,
84,Bears,21.0,24.0,179.0,158.0,1.0,14.0,300.0,126.0,174.0,3.0
85,Chiefs,40.0,24.0,378.0,113.0,,18.0,428.0,347.0,81.0,2.0
86,Chiefs,28.0,24.0,436.0,31.0,1.0,19.0,307.0,178.0,129.0,2.0
87,Chiefs,33.0,27.0,363.0,140.0,,29.0,452.0,249.0,203.0,
88,Chiefs,34.0,29.0,315.0,123.0,3.0,29.0,447.0,261.0,186.0,2.0
89,Chiefs,13.0,18.0,288.0,36.0,1.0,25.0,331.0,151.0,180.0,1.0
90,Chiefs,24.0,20.0,256.0,53.0,2.0,35.0,472.0,280.0,192.0,3.0
91,Chiefs,30.0,14.0,191.0,80.0,,15.0,205.0,134.0,71.0,1.0
92,Chiefs,24.0,21.0,249.0,88.0,1.0,21.0,374.0,256.0,118.0,
93,Chiefs,26.0,17.0,230.0,147.0,1.0,17.0,308.0,212.0,96.0,
94,Chiefs,32.0,28.0,433.0,97.0,1.0,19.0,371.0,146.0,225.0,1.0
95,Chiefs,24.0,18.0,180.0,130.0,1.0,23.0,438.0,345.0,93.0,4.0
96,Chiefs,,,,,,,,,,
97,Chiefs,40.0,22.0,163.0,96.0,,19.0,332.0,210.0,122.0,3.0
98,Chiefs,23.0,20.0,271.0,75.0,2.0,17.0,278.0,184.0,94.0,1.0
99,Chiefs,23.0,27.0,327.0,92.0,1.0,15.0,251.0,199.0,52.0,1.0
100,Chiefs,26.0,25.0,244.0,106.0,,18.0,234.0,133.0,101.0,
101,Chiefs,31.0,16.0,174.0,162.0,1.0,25.0,366.0,258.0,108.0,2.0
102,Broncos,16.0,18.0,249.0,95.0,,19.0,357.0,259.0,98.0,
103,Broncos,14.0,27.0,282.0,90.0,1.0,18.0,273.0,120.0,153.0,
104,Broncos,16.0,20.0,161.0,149.0,3.0,16.0,312.0,235.0,77.0,
105,Broncos,24.0,19.0,303.0,68.0,1.0,25.0,455.0,186.0,269.0,
106,Broncos,20.0,15.0,159.0,191.0,2.0,19.0,246.0,211.0,35.0,3.0
107,Broncos,16.0,11.0,167.0,103.0,1.0,12.0,204.0,165.0,39.0,3.0
108,Broncos,6.0,15.0,134.0,71.0,1.0,14.0,271.0,191.0,80.0,
109,Broncos,13.0,21.0,166.0,113.0,,19.0,318.0,191.0,127.0,1.0
110,Broncos,24.0,13.0,175.0,127.0,1.0,21.0,351.0,261.0,90.0,
111,Broncos,,,,,,,,,,
112,Broncos,23.0,20.0,270.0,124.0,1.0,19.0,321.0,284.0,37.0,2.0
113,Broncos,3.0,9.0,49.0,85.0,1.0,22.0,424.0,180.0,244.0,1.0
114,Broncos,23.0,13.0,134.0,84.0,1.0,17.0,359.0,244.0,115.0,2.0
115,Broncos,38.0,22.0,301.0,90.0,1.0,26.0,414.0,280.0,134.0,3.0
116,Broncos,3.0,15.0,199.0,52.0,1.0,27.0,419.0,327.0,92.0,1.0
117,Broncos,27.0,25.0,198.0,150.0,,13.0,191.0,95.0,96.0,
118,Broncos,16.0,16.0,168.0,70.0,1.0,18.0,477.0,380.0,97.0,1.0
119,Jets,16.0,17.0,155.0,68.0,1.0,23.0,370.0,242.0,128.0,4.0
120,Jets,3.0,13.0,169.0,93.0,1.0,16.0,375.0,305.0,70.0,1.0
121,Jets,14.0,6.0,69.0,36.0,1.0,21.0,381.0,313.0,68.0,2.0
122,Jets,,,,,,,,,,
123,Jets,6.0,9.0,61.0,67.0,3.0,17.0,265.0,181.0,84.0,1.0
124,Jets,24.0,20.0,326.0,56.0,1.0,26.0,399.0,270.0,129.0,
125,Jets,0.0,12.0,73.0,81.0,6.0,22.0,323.0,249.0,74.0,1.0
126,Jets,15.0,15.0,167.0,46.0,3.0,21.0,389.0,278.0,111.0,1.0
127,Jets,18.0,17.0,238.0,83.0,1.0,22.0,316.0,266.0,50.0,
128,Jets,34.0,18.0,218.0,76.0,,15.0,281.0,258.0,23.0,2.0
129,Jets,34.0,23.0,285.0,115.0,2.0,13.0,225.0,171.0,54.0,1.0
130,Jets,34.0,21.0,313.0,88.0,1.0,10.0,208.0,140.0,68.0,2.0
131,Jets,6.0,15.0,209.0,62.0,,18.0,277.0,233.0,44.0,
132,Jets,22.0,22.0,262.0,112.0,1.0,22.0,362.0,240.0,122.0,1.0
133,Jets,21.0,13.0,207.0,103.0,2.0,23.0,430.0,212.0,218.0,
134,Jets,16.0,14.0,174.0,85.0,1.0,16.0,260.0,185.0,75.0,2.0
135,Jets,13.0,18.0,185.0,86.0,1.0,17.0,309.0,236.0,73.0,3.0
136,Saints,30.0,25.0,362.0,148.0,1.0,22.0,414.0,234.0,180.0,1.0
137,Saints,9.0,15.0,187.0,57.0,1.0,20.0,380.0,265.0,115.0,1.0
138,Saints,33.0,15.0,177.0,88.0,1.0,26.0,514.0,406.0,108.0,1.0
139,Saints,12.0,18.0,149.0,117.0,1.0,15.0,257.0,212.0,45.0,3.0
140,Saints,31.0,25.0,345.0,112.0,1.0,19.0,252.0,158.0,94.0,
141,Saints,13.0,18.0,222.0,104.0,,11.0,226.0,151.0,75.0,1.0
142,Saints,36.0,24.0,273.0,151.0,,16.0,252.0,235.0,17.0,2.0
143,Saints,31.0,28.0,373.0,137.0,1.0,10.0,237.0,197.0,40.0,
144,Saints,,,,,,,,,,
145,Saints,9.0,18.0,258.0,52.0,,24.0,317.0,174.0,143.0,1.0
146,Saints,34.0,21.0,219.0,109.0,,21.0,334.0,298.0,36.0,4.0
147,Saints,34.0,23.0,300.0,118.0,1.0,26.0,351.0,230.0,121.0,1.0
148,Saints,26.0,14.0,184.0,95.0,,27.0,348.0,259.0,89.0,3.0
149,Saints,46.0,28.0,349.0,116.0,1.0,25.0,516.0,354.0,162.0,1.0
150,Saints,34.0,27.0,307.0,117.0,,16.0,205.0,159.0,46.0,
151,Saints,38.0,23.0,275.0,102.0,,17.0,397.0,248.0,149.0,1.0
152,Saints,42.0,25.0,264.0,115.0,,16.0,329.0,288.0,41.0,3.0
153,Panthers,27.0,21.0,216.0,127.0,3.0,22.0,349.0,183.0,166.0,1.0
154,Panthers,14.0,20.0,313.0,39.0,1.0,16.0,289.0,189.0,100.0,
155,Panthers,38.0,21.0,240.0,173.0,1.0,21.0,248.0,127.0,121.0,2.0
156,Panthers,16.0,19.0,203.0,94.0,3.0,18.0,264.0,128.0,136.0,2.0
157,Panthers,34.0,22.0,160.0,285.0,,28.0,507.0,358.0,149.0,3.0
158,Panthers,37.0,17.0,209.0,59.0,1.0,23.0,407.0,365.0,42.0,7.0
159,Panthers,,,,,,,,,,
160,Panthers,13.0,12.0,100.0,130.0,3.0,24.0,388.0,156.0,232.0,1.0
161,Panthers,30.0,22.0,214.0,156.0,1.0,24.0,431.0,310.0,121.0,3.0
162,Panthers,16.0,26.0,281.0,120.0,2.0,23.0,388.0,225.0,163.0,
163,Panthers,3.0,17.0,270.0,77.0,4.0,20.0,349.0,295.0,54.0,
164,Panthers,31.0,26.0,230.0,121.0,1.0,23.0,418.0,300.0,118.0,1.0
165,Panthers,21.0,22.0,213.0,65.0,2.0,20.0,362.0,114.0,248.0,
166,Panthers,20.0,27.0,245.0,100.0,4.0,22.0,461.0,302.0,159.0,
167,Panthers,24.0,28.0,269.0,145.0,3.0,21.0,428.0,274.0,154.0,1.0
168,Panthers,6.0,19.0,199.0,87.0,3.0,25.0,324.0,106.0,218.0,
169,Panthers,10.0,16.0,288.0,41.0,3.0,25.0,379.0,264.0,115.0,
170,Texans,28.0,22.0,234.0,180.0,1.0,25.0,510.0,362.0,148.0,1.0
171,Texans,13.0,17.0,137.0,126.0,,16.0,281.0,178.0,103.0,1.0
172,Texans,27.0,20.0,337.0,39.0,1.0,22.0,366.0,293.0,73.0,1.0
173,Texans,10.0,18.0,128.0,136.0,2.0,19.0,297.0,203.0,94.0,3.0
174,Texans,53.0,31.0,426.0,166.0,1.0,22.0,373.0,316.0,57.0,1.0
175,Texans,31.0,35.0,280.0,192.0,3.0,20.0,309.0,256.0,53.0,2.0
176,Texans,23.0,21.0,291.0,100.0,2.0,23.0,383.0,321.0,62.0,1.0
177,Texans,27.0,29.0,258.0,130.0,,15.0,378.0,285.0,93.0,
178,Texans,26.0,21.0,194.0,216.0,1.0,21.0,356.0,282.0,74.0,4.0
179,Texans,,,,,,,,,,
180,Texans,7.0,16.0,110.0,122.0,2.0,25.0,491.0,235.0,256.0,
181,Texans,20.0,16.0,297.0,99.0,1.0,19.0,296.0,121.0,175.0,
182,Texans,28.0,16.0,224.0,52.0,,29.0,448.0,303.0,145.0,1.0
183,Texans,24.0,26.0,280.0,134.0,3.0,22.0,391.0,301.0,90.0,1.0
184,Texans,24.0,23.0,234.0,140.0,2.0,24.0,432.0,269.0,163.0,1.0
185,Texans,23.0,15.0,161.0,68.0,2.0,19.0,435.0,329.0,106.0,5.0
186,Texans,14.0,20.0,192.0,109.0,1.0,25.0,467.0,222.0,245.0,
187,Cowboys,35.0,23.0,405.0,89.0,,25.0,470.0,319.0,151.0,2.0
188,Cowboys,31.0,25.0,261.0,213.0,1.0,19.0,255.0,208.0,47.0,
189,Cowboys,31.0,28.0,241.0,235.0,1.0,17.0,283.0,211.0,72.0,1.0
190,Cowboys,10.0,15.0,212.0,45.0,3.0,18.0,266.0,149.0,117.0,1.0
191,Cowboys,24.0,32.0,441.0,122.0,3.0,24.0,335.0,215.0,120.0,
192,Cowboys,22.0,26.0,270.0,129.0,,20.0,382.0,326.0,56.0,1.0
193,Cowboys,37.0,23.0,213.0,189.0,1.0,16.0,283.0,168.0,115.0,4.0
194,Cowboys,,,,,,,,,,
195,Cowboys,37.0,24.0,257.0,172.0,2.0,20.0,271.0,171.0,100.0,3.0
196,Cowboys,24.0,24.0,393.0,50.0,1.0,27.0,364.0,211.0,153.0,
197,Cowboys,35.0,26.0,434.0,75.0,1.0,19.0,312.0,191.0,121.0,
198,Cowboys,9.0,16.0,212.0,109.0,1.0,17.0,282.0,181.0,101.0,
199,Cowboys,15.0,32.0,323.0,103.0,2.0,22.0,356.0,232.0,124.0,
200,Cowboys,24.0,22.0,326.0,82.0,,24.0,382.0,231.0,151.0,2.0
201,Cowboys,44.0,25.0,212.0,263.0,,23.0,289.0,267.0,22.0,1.0
202,Cowboys,9.0,16.0,257.0,54.0,1.0,23.0,431.0,313.0,118.0,
203,Cowboys,47.0,22.0,294.0,223.0,1.0,13.0,271.0,183.0,88.0,2.0
204,Bucs,17.0,21.0,174.0,121.0,4.0,17.0,256.0,158.0,98.0,2.0
205,Bucs,20.0,16.0,189.0,100.0,,20.0,352.0,313.0,39.0,1.0
206,Bucs,31.0,24.0,355.0,144.0,1.0,17.0,384.0,312.0,72.0,2.0
207,Bucs,55.0,27.0,376.0,88.0,1.0,36.0,518.0,490.0,28.0,4.0
208,Bucs,24.0,19.0,158.0,94.0,,25.0,457.0,345.0,112.0,1.0
209,Bucs,26.0,23.0,365.0,42.0,7.0,17.0,268.0,209.0,59.0,1.0
210,Bucs,,,,,,,,,,
211,Bucs,23.0,23.0,283.0,106.0,4.0,16.0,246.0,174.0,72.0,1.0
212,Bucs,34.0,29.0,319.0,99.0,1.0,31.0,492.0,347.0,145.0,1.0
213,Bucs,30.0,26.0,339.0,118.0,3.0,20.0,417.0,342.0,75.0,2.0
214,Bucs,17.0,21.0,298.0,36.0,4.0,21.0,328.0,219.0,109.0,
215,Bucs,35.0,20.0,313.0,133.0,2.0,22.0,337.0,280.0,57.0,2.0
216,Bucs,28.0,19.0,241.0,74.0,1.0,14.0,242.0,193.0,49.0,4.0
217,Bucs,38.0,29.0,467.0,75.0,4.0,16.0,309.0,243.0,66.0,1.0
218,Bucs,38.0,23.0,446.0,49.0,1.0,16.0,295.0,250.0,45.0,3.0
219,Bucs,20.0,19.0,329.0,106.0,5.0,15.0,229.0,161.0,68.0,2.0
220,Bucs,22.0,14.0,193.0,136.0,3.0,28.0,373.0,286.0,87.0,1.0
221,Eagles,32.0,22.0,313.0,123.0,,15.0,398.0,370.0,28.0,
222,Eagles,20.0,18.0,237.0,49.0,3.0,19.0,367.0,310.0,57.0,3.0
223,Eagles,24.0,22.0,246.0,127.0,2.0,16.0,287.0,201.0,86.0,
224,Eagles,34.0,24.0,160.0,176.0,,31.0,491.0,414.0,77.0,2.0
225,Eagles,31.0,17.0,181.0,84.0,1.0,9.0,128.0,61.0,67.0,3.0
226,Eagles,20.0,19.0,292.0,108.0,3.0,26.0,447.0,325.0,122.0,2.0
227,Eagles,10.0,16.0,168.0,115.0,4.0,23.0,402.0,213.0,189.0,1.0
228,Eagles,31.0,21.0,153.0,218.0,1.0,16.0,253.0,155.0,98.0,1.0
229,Eagles,22.0,26.0,227.0,146.0,,10.0,164.0,102.0,62.0,1.0
230,Eagles,,,,,,,,,,
231,Eagles,10.0,21.0,174.0,81.0,1.0,19.0,298.0,224.0,74.0,
232,Eagles,9.0,23.0,238.0,106.0,5.0,14.0,348.0,174.0,174.0,2.0
233,Eagles,31.0,23.0,294.0,92.0,1.0,26.0,409.0,351.0,58.0,1.0
234,Eagles,23.0,27.0,300.0,118.0,1.0,11.0,255.0,182.0,73.0,
235,Eagles,37.0,27.0,258.0,157.0,1.0,19.0,352.0,251.0,101.0,1.0
236,Eagles,17.0,23.0,313.0,118.0,,16.0,311.0,257.0,54.0,1.0
237,Eagles,34.0,25.0,279.0,121.0,,19.0,397.0,275.0,122.0,2.0
238,Rams,30.0,22.0,183.0,166.0,1.0,21.0,343.0,216.0,127.0,3.0
239,Rams,27.0,20.0,265.0,115.0,1.0,15.0,244.0,187.0,57.0,1.0
240,Rams,20.0,20.0,254.0,90.0,3.0,18.0,270.0,175.0,95.0,1.0
241,Rams,40.0,36.0,490.0,28.0,4.0,27.0,464.0,376.0,88.0,1.0
242,Rams,29.0,24.0,395.0,82.0,2.0,25.0,429.0,262.0,167.0,1.0
243,Rams,7.0,10.0,48.0,109.0,1.0,22.0,331.0,232.0,99.0,2.0
244,Rams,37.0,23.0,291.0,90.0,,14.0,224.0,186.0,38.0,3.0
245,Rams,24.0,19.0,372.0,98.0,,24.0,401.0,297.0,104.0,
246,Rams,,,,,,,,,,
247,Rams,12.0,16.0,218.0,88.0,4.0,15.0,273.0,231.0,42.0,2.0
248,Rams,17.0,13.0,173.0,110.0,2.0,17.0,267.0,193.0,74.0,1.0
249,Rams,6.0,14.0,199.0,22.0,2.0,31.0,480.0,195.0,285.0,
250,Rams,34.0,27.0,417.0,132.0,,13.0,198.0,124.0,74.0,1.0
251,Rams,28.0,26.0,293.0,162.0,2.0,16.0,308.0,202.0,106.0,1.0
252,Rams,21.0,23.0,267.0,22.0,1.0,25.0,475.0,212.0,263.0,
253,Rams,31.0,24.0,323.0,72.0,1.0,19.0,334.0,215.0,119.0,2.0
254,Rams,31.0,25.0,311.0,113.0,,22.0,393.0,322.0,71.0,5.0
255,49ers,31.0,17.0,158.0,98.0,2.0,21.0,295.0,174.0,121.0,4.0
256,49ers,41.0,27.0,312.0,259.0,1.0,14.0,316.0,291.0,25.0,1.0
257,49ers,24.0,26.0,268.0,168.0,5.0,11.0,239.0,160.0,79.0,2.0
258,49ers,,,,,,,,,,
259,49ers,31.0,22.0,171.0,275.0,,9.0,180.0,78.0,102.0,4.0
260,49ers,20.0,22.0,232.0,99.0,2.0,10.0,157.0,48.0,109.0,1.0
261,49ers,9.0,17.0,146.0,137.0,1.0,10.0,154.0,50.0,104.0,1.0
262,49ers,51.0,24.0,156.0,232.0,1.0,12.0,230.0,100.0,130.0,3.0
263,49ers,28.0,21.0,310.0,101.0,,19.0,357.0,204.0,153.0,
264,49ers,24.0,21.0,215.0,87.0,3.0,19.0,336.0,189.0,147.0,4.0
265,49ers,36.0,26.0,408.0,34.0,2.0,21.0,266.0,131.0,135.0,2.0
266,49ers,37.0,16.0,227.0,112.0,,19.0,198.0,81.0,117.0,1.0
267,49ers,17.0,15.0,157.0,174.0,1.0,21.0,283.0,105.0,178.0,1.0
268,49ers,48.0,25.0,354.0,162.0,1.0,28.0,465.0,349.0,116.0,1.0
269,49ers,22.0,20.0,193.0,120.0,2.0,20.0,290.0,201.0,89.0,1.0
270,49ers,34.0,19.0,215.0,119.0,2.0,24.0,395.0,323.0,72.0,1.0
271,49ers,26.0,18.0,270.0,128.0,,27.0,348.0,223.0,125.0,
272,Cardinals,27.0,21.0,275.0,112.0,1.0,23.0,477.0,361.0,116.0,2.0
273,Cardinals,17.0,15.0,329.0,20.0,,26.0,440.0,258.0,182.0,
274,Cardinals,20.0,21.0,127.0,121.0,2.0,21.0,413.0,240.0,173.0,1.0
275,Cardinals,10.0,20.0,206.0,115.0,1.0,21.0,340.0,225.0,115.0,
276,Cardinals,26.0,26.0,248.0,266.0,,21.0,370.0,262.0,108.0,
277,Cardinals,34.0,24.0,340.0,102.0,,31.0,444.0,341.0,103.0,
278,Cardinals,27.0,18.0,89.0,156.0,,21.0,263.0,156.0,107.0,3.0
279,Cardinals,9.0,10.0,197.0,40.0,,28.0,510.0,373.0,137.0,1.0
280,Cardinals,25.0,19.0,204.0,153.0,,21.0,411.0,310.0,101.0,
281,Cardinals,27.0,20.0,342.0,75.0,2.0,26.0,457.0,339.0,118.0,3.0
282,Cardinals,26.0,21.0,131.0,135.0,2.0,26.0,442.0,408.0,34.0,2.0
283,Cardinals,,,,,,,,,,
284,Cardinals,7.0,13.0,124.0,74.0,1.0,27.0,549.0,417.0,132.0,
285,Cardinals,17.0,17.0,165.0,71.0,3.0,20.0,275.0,135.0,140.0,2.0
286,Cardinals,38.0,26.0,219.0,226.0,1.0,25.0,393.0,241.0,152.0,2.0
287,Cardinals,27.0,21.0,159.0,253.0,,13.0,224.0,133.0,91.0,1.0
288,Cardinals,24.0,22.0,322.0,71.0,5.0,25.0,424.0,311.0,113.0,
289,Colts,24.0,22.0,173.0,203.0,,25.0,435.0,310.0,125.0,2.0
290,Colts,19.0,21.0,121.0,167.0,2.0,18.0,243.0,119.0,124.0,
291,Colts,27.0,29.0,300.0,79.0,,25.0,397.0,304.0,93.0,1.0
292,Colts,24.0,22.0,265.0,81.0,2.0,21.0,377.0,189.0,188.0,1.0
293,Colts,19.0,25.0,151.0,180.0,1.0,18.0,324.0,288.0,36.0,1.0
294,Colts,,,,,,,,,,
295,Colts,30.0,23.0,321.0,62.0,1.0,21.0,391.0,291.0,100.0,2.0
296,Colts,15.0,19.0,191.0,127.0,1.0,21.0,279.0,166.0,113.0,
297,Colts,24.0,22.0,189.0,139.0,3.0,17.0,273.0,183.0,90.0,2.0
298,Colts,12.0,19.0,191.0,109.0,3.0,13.0,229.0,159.0,70.0,2.0
299,Colts,33.0,23.0,125.0,264.0,2.0,15.0,308.0,279.0,29.0,1.0
300,Colts,17.0,19.0,121.0,175.0,,16.0,396.0,297.0,99.0,1.0
301,Colts,17.0,22.0,309.0,82.0,3.0,15.0,292.0,138.0,154.0,2.0
302,Colts,35.0,16.0,243.0,66.0,1.0,29.0,542.0,467.0,75.0,4.0
303,Colts,7.0,16.0,159.0,46.0,,27.0,424.0,307.0,117.0,
304,Colts,38.0,25.0,106.0,218.0,,19.0,286.0,199.0,87.0,3.0
305,Colts,20.0,17.0,143.0,132.0,2.0,23.0,353.0,286.0,67.0,1.0
306,Titans,43.0,21.0,216.0,123.0,,19.0,346.0,244.0,102.0,3.0
307,Titans,17.0,18.0,119.0,124.0,,21.0,288.0,121.0,167.0,2.0
308,Titans,7.0,21.0,249.0,91.0,1.0,12.0,292.0,204.0,88.0,
309,Titans,24.0,22.0,227.0,138.0,,24.0,422.0,364.0,58.0,1.0
310,Titans,7.0,14.0,150.0,102.0,,18.0,313.0,204.0,109.0,1.0
311,Titans,0.0,12.0,165.0,39.0,3.0,11.0,270.0,167.0,103.0,1.0
312,Titans,23.0,22.0,306.0,97.0,1.0,24.0,365.0,326.0,39.0,1.0
313,Titans,27.0,16.0,174.0,72.0,1.0,23.0,389.0,283.0,106.0,4.0
314,Titans,20.0,24.0,310.0,121.0,3.0,22.0,370.0,214.0,156.0,1.0
315,Titans,35.0,19.0,146.0,225.0,1.0,28.0,530.0,433.0,97.0,1.0
316,Titans,,,,,,,,,,
317,Titans,42.0,21.0,252.0,219.0,2.0,23.0,369.0,252.0,117.0,1.0
