,Week,Team Name,ScoredPoints,FirstDowns,PassY,RushY,TurnoversAllowed,FirstAllowed,YardsAllowed,PassYardsAllowed,RushingYardsAllowed,Turnovers
107,6,Chiefs,24.0,20.0,256.0,53.0,2.0,35.0,472.0,280.0,192.0,3.0
108,7,Chiefs,30.0,14.0,191.0,80.0,,15.0,205.0,134.0,71.0,1.0
109,8,Chiefs,24.0,21.0,249.0,88.0,1.0,21.0,374.0,256.0,118.0,
110,9,Chiefs,26.0,17.0,230.0,147.0,1.0,17.0,308.0,212.0,96.0,
111,10,Chiefs,32.0,28.0,433.0,97.0,1.0,19.0,371.0,146.0,225.0,1.0
112,11,Chiefs,24.0,18.0,180.0,130.0,1.0,23.0,438.0,345.0,93.0,4.0
113,12,Chiefs,,,,,,,,,,
114,13,Chiefs,40.0,22.0,163.0,96.0,,19.0,332.0,210.0,122.0,3.0
115,14,Chiefs,23.0,20.0,271.0,75.0,2.0,17.0,278.0,184.0,94.0,1.0
116,15,Chiefs,23.0,27.0,327.0,92.0,1.0,15.0,251.0,199.0,52.0,1.0
117,16,Chiefs,26.0,25.0,244.0,106.0,,18.0,234.0,133.0,101.0,
118,17,Chiefs,31.0,16.0,174.0,162.0,1.0,25.0,366.0,258.0,108.0,2.0
119,1,Broncos,16.0,18.0,249.0,95.0,,19.0,357.0,259.0,98.0,
120,2,Broncos,14.0,27.0,282.0,90.0,1.0,18.0,273.0,120.0,153.0,
121,3,Broncos,16.0,20.0,161.0,149.0,3.0,16.0,312.0,235.0,77.0,
122,4,Broncos,24.0,19.0,303.0,68.0,1.0,25.0,455.0,186.0,269.0,
123,5,Broncos,20.0,15.0,159.0,191.0,2.0,19.0,246.0,211.0,35.0,3.0
124,6,Broncos,16.0,11.0,167.0,103.0,1.0,12.0,204.0,165.0,39.0,3.0
125,7,Broncos,6.0,15.0,134.0,71.0,1.0,14.0,271.0,191.0,80.0,
126,8,Broncos,13.0,21.0,166.0,113.0,,19.0,318.0,191.0,127.0,1.0
127,9,Broncos,24.0,13.0,175.0,127.0,1.0,21.0,351.0,261.0,90.0,
128,10,Broncos,,,,,,,,,,
129,11,Broncos,23.0,20.0,270.0,124.0,1.0,19.0,321.0,284.0,37.0,2.0
130,12,Broncos,3.0,9.0,49.0,85.0,1.0,22.0,424.0,180.0,244.0,1.0
131,13,Broncos,23.0,13.0,134.0,84.0,1.0,17.0,359.0,244.0,115.0,2.0
132,14,Broncos,38.0,22.0,301.0,90.0,1.0,26.0,414.0,280.0,134.0,3.0
133,15,Broncos,3.0,15.0,199.0,52.0,1.0,27.0,419.0,327.0,92.0,1.0
134,16,Broncos,27.0,25.0,198.0,150.0,,13.0,191.0,95.0,96.0,
135,17,Broncos,16.0,16.0,168.0,70.0,1.0,18.0,477.0,380.0,97.0,1.0
136,1,Jets,16.0,17.0,155.0,68.0,1.0,23.0,370.0,242.0,128.0,4.0
137,2,Jets,3.0,13.0,169.0,93.0,1.0,16.0,375.0,305.0,70.0,1.0
138,3,Jets,14.0,6.0,69.0,36.0,1.0,21.0,381.0,313.0,68.0,2.0
139,4,Jets,,,,,,,,,,
140,5,Jets,6.0,9.0,61.0,67.0,3.0,17.0,265.0,181.0,84.0,1.0
141,6,Jets,24.0,20.0,326.0,56.0,1.0,26.0,399.0,270.0,129.0,
142,7,Jets,0.0,12.0,73.0,81.0,6.0,22.0,323.0,249.0,74.0,1.0
143,8,Jets,15.0,15.0,167.0,46.0,3.0,21.0,389.0,278.0,111.0,1.0
144,9,Jets,18.0,17.0,238.0,83.0,1.0,22.0,316.0,266.0,50.0,
145,10,Jets,34.0,18.0,218.0,76.0,,15.0,281.0,258.0,23.0,2.0
146,11,Jets,34.0,23.0,285.0,115.0,2.0,13.0,225.0,171.0,54.0,1.0
